field,value
report_generated_at,2026-03-31
data_version,v12.0
pilot_id,LPA-22
lpa_name,County Durham Council
lpa_type,Unitary Authority
cohort,Cohort 3
peer_group,Regeneration-focused authorities
region,North East
growth_context,Regeneration growth
constraint_profile,Former coalfield remediation and employment land pressure
data_quality_tier,C
coverage_score,65
total_linked_issues,6
high_severity_issues,2
primary_risk_stage,Validation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,15.6
delegated_ratio_proxy,89.0
plan_age_years,5.4
consultation_lag_proxy,4.1
backlog_pressure,34.2
analytical_confidence,low
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
