field,value
report_generated_at,2026-04-14
data_version,v14.0
pilot_id,LPA-34
lpa_name,Doncaster Metropolitan Borough Council
lpa_type,Metropolitan District
cohort,Cohort 4
peer_group,High-growth urban authorities
region,Yorkshire and The Humber
growth_context,Regeneration growth
constraint_profile,Former mining land remediation and flood risk management
data_quality_tier,C
coverage_score,60
total_linked_issues,7
high_severity_issues,3
primary_risk_stage,Validation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,16.3
delegated_ratio_proxy,83.6
plan_age_years,4.6
consultation_lag_proxy,4.5
backlog_pressure,48.6
analytical_confidence,low
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
