field,value
report_generated_at,2026-04-14
data_version,v14.0
pilot_id,LPA-23
lpa_name,Plymouth City Council
lpa_type,Unitary Authority
cohort,Cohort 3
peer_group,Regeneration-focused authorities
region,South West
growth_context,Regeneration growth
constraint_profile,Coastal flood risk and military safeguarding
data_quality_tier,B
coverage_score,77
total_linked_issues,7
high_severity_issues,3
primary_risk_stage,Consultation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.8
delegated_ratio_proxy,88.9
plan_age_years,7.1
consultation_lag_proxy,4.8
backlog_pressure,47.8
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
