field,value
report_generated_at,2026-03-31
data_version,v14.0
pilot_id,LPA-24
lpa_name,Reading Borough Council
lpa_type,Unitary Authority
cohort,Cohort 3
peer_group,High-growth urban authorities
region,South East
growth_context,High growth urban
constraint_profile,Transport capacity and flood risk
data_quality_tier,B
coverage_score,79
total_linked_issues,8
high_severity_issues,4
primary_risk_stage,Committee
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,14.1
delegated_ratio_proxy,87.7
plan_age_years,6.4
consultation_lag_proxy,4.6
backlog_pressure,55.5
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
