field,value
report_generated_at,2026-04-14
data_version,v14.0
pilot_id,LPA-02
lpa_name,Oxford City Council
lpa_type,Non-metropolitan District
cohort,Cohort 1
peer_group,High-growth urban authorities
region,South East
growth_context,High demand constrained
constraint_profile,Green Belt and heritage sensitivity
data_quality_tier,A
coverage_score,90
total_linked_issues,10
high_severity_issues,5
primary_risk_stage,Committee
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,12.9
delegated_ratio_proxy,82.1
plan_age_years,5.3
consultation_lag_proxy,4.2
backlog_pressure,77.8
analytical_confidence,high
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
